Time ,Sensor 1 ,Sensor 2 , Gear , Sensor 3 , AVERAGE S1 , AVERAGE S2  , AVERAGE S3
15:37:46,545.38,545.06,10.1,543.79,544.76,545.13,545.36
15:37:46,545.06,544.43,10.1,545.38,544.51,544.87,545.15
15:37:46,546.01,544.43,10.1,537.71,544.45,544.62,545.01
15:37:46,542.06,541.44,10.1,544.43,544.38,544.62,544.95
15:37:46,542.06,544.9,10.1,547.13,544.32,544.52,544.85
15:37:46,544.58,547.61,10.1,547.13,544.21,544.51,544.76
15:37:46,548.25,544.74,10.1,544.74,544.34,544.62,544.83
15:37:46,543.79,544.74,10.1,548.41,544.48,544.73,544.96
15:37:46,544.27,546.17,10.1,547.77,544.53,544.87,545.03
15:37:46,544.27,545.22,10.1,543.16,544.57,544.87,544.96
15:37:46,544.58,544.11,10.1,543.16,544.49,544.78,544.9
15:37:46,544.74,543.95,10.1,545.06,544.46,544.73,544.87
15:37:46,544.11,543.95,10.1,536.17,544.27,544.68,544.71
15:37:46,542.53,539.72,10.1,543.95,544.32,544.51,544.67
15:37:46,542.53,545.53,10.1,548.09,544.37,544.57,544.76
15:37:46,545.69,548.25,10.1,548.09,544.48,544.64,544.86
15:37:46,548.89,546.01,10.1,545.38,544.54,544.77,544.92
15:37:46,545.85,546.01,10.1,550.34,544.75,544.89,545.12
15:37:46,546.65,548.41,10.1,550.18,544.98,545.12,545.36
15:37:46,546.65,546.97,10.1,543.48,545.22,545.29,545.39
15:37:46,543.95,542.38,10.1,543.16,545.16,545.12,545.39
15:37:46,543.01,542.69,10.1,543.16,544.99,544.99,545.2
15:37:46,542.06,536.94,10.1,534.49,544.78,544.29,545.03
15:37:46,539.1,536.94,10.1,540.81,544.44,544.01,544.72
15:37:46,539.1,542.85,10.1,546.81,544.1,543.74,544.59
15:37:46,544.9,548.57,10.1,545.22,544.02,543.78,544.3
15:37:46,549.21,546.33,10.1,545.22,544.05,543.81,544.29
15:37:46,546.97,546.33,10.1,551.47,544.16,543.84,544.4
15:37:46,549.37,550.18,10.1,552.45,544.43,544.02,544.63
15:37:46,549.37,549.69,10.1,547.29,544.7,544.29,545.01
15:37:46,547.45,545.69,10.1,544.9,545.05,544.62,545.18
15:37:46,543.48,542.38,10.1,544.9,545.1,544.59,545.35
15:37:46,541.91,542.38,10.1,534.04,545.09,545.13,545.31
15:37:46,537.87,536.63,10.1,540.03,544.96,545.1,545.23
15:37:46,537.87,540.81,10.1,543.64,544.84,544.9,544.91
15:37:46,541.28,545.22,10.1,543.64,544.48,544.56,544.76
15:37:46,547.77,545.22,10.1,543.16,544.33,544.45,544.55
15:37:46,545.53,548.89,10.1,550.01,544.19,544.71,544.41
15:37:46,549.05,548.89,10.1,551.96,544.16,544.58,544.36
15:37:46,549.05,550.34,10.1,548.41,544.12,544.64,544.47
15:37:46,549.37,547.93,10.1,547.61,544.32,544.87,544.74
15:37:46,546.49,544.9,10.1,547.61,544.62,545.12,545.01
15:37:46,543.16,537.25,10.1,535.87,544.74,544.61,545.19
15:37:46,537.87,537.25,10.1,540.35,544.74,544.67,545.22
15:37:46,537.87,540.81,10.1,543.48,544.74,544.67,545.21
15:37:46,541.28,544.58,10.1,543.48,544.74,544.6,545.19
15:37:46,546.17,543.79,10.1,541.44,544.58,544.46,545.02
15:37:46,545.06,548.89,10.1,549.69,544.54,544.46,544.99
15:37:46,548.73,548.89,10.1,551.8,544.5,544.46,544.97
15:37:46,549.37,549.53,10.1,548.09,544.54,544.38,544.94
15:37:46,549.37,548.57,10.1,548.25,544.54,544.45,545
15:37:46,547.61,546.17,10.1,548.25,544.65,544.57,545.07
15:37:46,544.58,537.87,10.1,537.4,544.79,544.63,545.22
15:37:46,537.25,537.87,10.1,540.35,544.73,544.7,545.22
